Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-9.4800e-04,0.00186188
-9.4780e-04,0.00164
-9.4760e-04,0.00184531
-9.4740e-04,0.00192781
-9.4720e-04,0.00162844
-9.4700e-04,0.00177969
-9.4680e-04,0.00171563
-9.4660e-04,0.00174625
-9.4640e-04,0.00183844
-9.4620e-04,0.00176969
-9.4600e-04,0.00173531
-9.4580e-04,0.00165313
-9.4560e-04,0.001695
-9.4540e-04,0.00185469
-9.4520e-04,0.00166406
-9.4500e-04,0.00183438
-9.4480e-04,0.00180031
-9.4460e-04,0.00178063
-9.4440e-04,0.00193281
-9.4420e-04,0.001875
-9.4400e-04,0.00178656
-9.4380e-04,0.00197781
-9.4360e-04,0.00170656
-9.4340e-04,0.00207656
-9.4320e-04,0.0016625
-9.4300e-04,0.00203219
-9.4280e-04,0.00203
-9.4260e-04,0.00161938
-9.4240e-04,0.00180031
-9.4220e-04,0.00180813
-9.4200e-04,0.0016675
-9.4180e-04,0.00177656
-9.4160e-04,0.00161188
-9.4140e-04,0.00168
-9.4120e-04,0.00172938
-9.4100e-04,0.00196563
-9.4080e-04,0.00176906
-9.4060e-04,0.00184063
-9.4040e-04,0.0016575
-9.4020e-04,0.00185938
-9.4000e-04,0.00166594
-9.3980e-04,0.00157906
-9.3960e-04,0.00204156
-9.3940e-04,0.00173438
-9.3920e-04,0.00182281
-9.3900e-04,0.00186
-9.3880e-04,0.00177281
-9.3860e-04,0.0015
-9.3840e-04,0.00175844
-9.3820e-04,0.00178219
-9.3800e-04,0.00183406
-9.3780e-04,0.00176
-9.3760e-04,0.00192125
-9.3740e-04,0.00203938
-9.3720e-04,0.00185094
-9.3700e-04,0.0015425
-9.3680e-04,0.00182688
-9.3660e-04,0.00180281
-9.3640e-04,0.0015975
-9.3620e-04,0.00189438
-9.3600e-04,0.00187813
-9.3580e-04,0.00187031
-9.3560e-04,0.00190125
-9.3540e-04,0.00175469
-9.3520e-04,0.00165719
-9.3500e-04,0.00169656
-9.3480e-04,0.00181156
-9.3460e-04,0.00184531
-9.3440e-04,0.00178938
-9.3420e-04,0.00167875
-9.3400e-04,0.00186281
-9.3380e-04,0.00166875
-9.3360e-04,0.00175563
-9.3340e-04,0.00170563
-9.3320e-04,0.00178188
-9.3300e-04,0.00166938
-9.3280e-04,0.0017375
-9.3260e-04,0.00164188
-9.3240e-04,0.00177469
-9.3220e-04,0.00193906
-9.3200e-04,0.00192063
-9.3180e-04,0.00197562
-9.3160e-04,0.00190469
-9.3140e-04,0.00176531
-9.3120e-04,0.00173156
-9.3100e-04,0.00159406
-9.3080e-04,0.00194719
-9.3060e-04,0.00181094
-9.3040e-04,0.00183156
-9.3020e-04,0.00194125
-9.3000e-04,0.0016875
-9.2980e-04,0.00190875
-9.2960e-04,0.00170688
-9.2940e-04,0.00172219
-9.2920e-04,0.00168063
-9.2900e-04,0.00171844
-9.2880e-04,0.00196313
-9.2860e-04,0.00194313
-9.2840e-04,0.00174031
-9.2820e-04,0.00166188
-9.2800e-04,0.00179563
-9.2780e-04,0.00177969
-9.2760e-04,0.00152406
-9.2740e-04,0.00185594
-9.2720e-04,0.00172375
-9.2700e-04,0.00162344
-9.2680e-04,0.00168406
-9.2660e-04,0.00207656
-9.2640e-04,0.00133594
-9.2620e-04,0.00181156
-9.2600e-04,0.00182719
-9.2580e-04,0.00158375
-9.2560e-04,0.0019175
-9.2540e-04,0.00174219
-9.2520e-04,0.0019425
-9.2500e-04,0.00149875
-9.2480e-04,0.00179313
-9.2460e-04,0.00177656
-9.2440e-04,0.00185313
-9.2420e-04,0.00188281
-9.2400e-04,0.00172375
-9.2380e-04,0.00179375
-9.2360e-04,0.00184156
-9.2340e-04,0.00153813
-9.2320e-04,0.00177875
-9.2300e-04,0.00207781
-9.2280e-04,0.00180344
-9.2260e-04,0.00182031
